id,name,nation,role,salary_rank,comma_less_salary,team,season,salary
2140,Manan Vohra,India,Batsman,91,40000000,KXIP,2017,"4,00,00,000"
2141,Marcus Stoinis,Australia,Batsman,83,5500000,KXIP,2017,"55,00,000"
2142,Martin Guptill,New Zealand,Batsman,305,5000000,KXIP,2017,"50,00,000"
2143,Matt Henry,New Zealand,Bowler,363,5000000,KXIP,2017,"50,00,000"
2144,Mohit Sharma,India,Bowler,73,65000000,KXIP,2017,"6,50,00,000"
2145,Murali Vijay,India,Batsman,56,30000000,KXIP,2017,"3,00,00,000"
2146,Nikhil Naik,India,Wicketkeeper Batsman,350,3000000,KXIP,2017,"30,00,000"
2147,Pradeep Sahu,India,All-Rounder,612,1000000,KXIP,2017,"10,00,000"
2148,Rahul Tewatia,India,Bowler,142,2500000,KXIP,2017,"25,00,000"
2149,Rinku Singh,India,Batsman,255,1000000,KXIP,2017,"10,00,000"
2150,Sandeep Sharma,India,Bowler,116,8500000,KXIP,2017,"85,00,000"
2151,Shaun Marsh,Australia,Batsman,120,22000000,KXIP,2017,"2,20,00,000"
2152,Swapnil Singh,India,Bowler,581,1000000,KXIP,2017,"10,00,000"
2153,T Natarajan,India,Bowler,223,30000000,KXIP,2017,"3,00,00,000"
2154,Varun Aaron,India,Bowler,126,28000000,KXIP,2017,"2,80,00,000"
2155,Wriddhiman Saha,India,Wicketkeeper Batsman,97,22000000,KXIP,2017,"2,20,00,000"
2156,Ambati Rayudu,India,Batsman,68,40000000,MI,2017,"4,00,00,000"
2157,Asela Gunaratne,Sri Lanka,Batsman,556,3000000,MI,2017,"30,00,000"
2158,Deepak Punia,India,Bowler,613,1000000,MI,2017,"10,00,000"
2159,Harbhajan Singh,India,Bowler,22,55000000,MI,2017,"5,50,00,000"
2160,Hardik Pandya,India,All-Rounder,34,1000000,MI,2017,"10,00,000"
2161,Jagadeesha Suchith,India,Bowler,367,1000000,MI,2017,"10,00,000"
2162,Jasprit Bumrah,India,All-Rounder,55,12000000,MI,2017,"1,20,00,000"
2163,Jitesh Sharma,India,Wicketkeeper Batsman,614,1000000,MI,2017,"10,00,000"
