id,name,nation,role,salary_rank,comma_less_salary,team,season,salary
669,Tim Southee,New Zealand,Bowler,163,4600000,CSK,2011,"46,00,000"
670,Wriddhiman Saha,India,Wicketkeeper Batsman,97,4600000,CSK,2011,"46,00,000"
671,Yo Mahesh,India,All-Rounder,380,3000000,CSK,2011,"30,00,000"
672,Aaron Finch,Australia,Batsman,85,13800000,DC,2011,"1,38,00,000"
673,Aavishkar Salvi,India,Bowler,320,3000000,DC,2011,"30,00,000"
674,Ajit Agarkar,India,Bowler,192,9660000,DC,2011,"96,60,000"
675,Ajit Chandila,India,All-Rounder,389,3000000,DC,2011,"30,00,000"
676,Andrew McDonald,Australia,All-Rounder,343,3680000,DC,2011,"36,80,000"
677,Ashok Dinda,India,Bowler,167,17250000,DC,2011,"1,72,50,000"
678,Colin Ingram,South Africa,Batsman,189,4600000,DC,2011,"46,00,000"
679,David Warner,Australia,Batsman,16,34500000,DC,2011,"3,45,00,000"
680,Irfan Pathan,India,All-Rounder,36,87400000,DC,2011,"8,74,00,000"
681,James Hopes,Australia,All-Rounder,202,16100000,DC,2011,"1,61,00,000"
682,Matthew Wade,Australia,Wicketkeeper Batsman,498,4600000,DC,2011,"46,00,000"
683,Morne Morkel,South Africa,Bowler,111,21850000,DC,2011,"2,18,50,000"
684,Naman Ojha,India,Wicketkeeper Batsman,188,12420000,DC,2011,"1,24,20,000"
685,Prashant Naik,India,Batsman,509,2000000,DC,2011,"20,00,000"
686,Rajesh Pawar,India,Bowler,540,3000000,DC,2011,"30,00,000"
687,Robert Frylinck,South Africa,All-Rounder,735,920000,DC,2011,"9,20,000"
688,Robin Bist,India,Batsman,508,2000000,DC,2011,"20,00,000"
689,Roelof Van der Merwe,Netherlands,All-Rounder,364,2300000,DC,2011,"23,00,000"
690,Shahbaz Nadeem,India,Bowler,106,3000000,DC,2011,"30,00,000"
691,Sridharan Sriram,India,Batsman,501,3000000,DC,2011,"30,00,000"
692,Tejashwi Yadav,India,Batsman,530,1000000,DC,2011,"10,00,000"
693,Travis Birt,Australia,Batsman,654,920000,DC,2011,"9,20,000"
694,Umesh Yadav,India,Bowler,50,34500000,DC,2011,"3,45,00,000"
695,Unmukt Chand,India,Batsman,292,1000000,DC,2011,"10,00,000"
696,Varun Aaron,India,Bowler,126,2000000,DC,2011,"20,00,000"
697,Venugopal Rao,India,Batsman,158,32200000,DC,2011,"3,22,00,000"
698,Vikas Mishra,India,Bowler,596,1000000,DC,2011,"10,00,000"
699,Virender Sehwag,India,Batsman,37,82800000,DC,2011,"8,28,00,000"
700,Vivek Yadav,India,Bowler,692,1000000,DC,2011,"10,00,000"
701,Yogesh Nagar,India,All-Rounder,419,2000000,DC,2011,"20,00,000"
702,Brad Haddin,Australia,Wicketkeeper Batsman,213,14950000,KKR,2011,"1,49,50,000"
703,Brett Lee,Australia,Bowler,100,18400000,KKR,2011,"1,84,00,000"
704,Eoin Morgan,England,Batsman,90,16100000,KKR,2011,"1,61,00,000"
705,Gautam Gambhir,India,Batsman,7,110400000,KKR,2011,"11,04,00,000"
706,Iqbal Abdulla,India,All-Rounder,291,2000000,KKR,2011,"20,00,000"
707,Jacques Kallis,South Africa,All-Rounder,53,50600000,KKR,2011,"5,06,00,000"
708,James Pattinson,Australia,Bowler,262,4600000,KKR,2011,"46,00,000"
709,Jaydev Unadkat,India,Bowler,44,11500000,KKR,2011,"1,15,00,000"
710,Lakshmipathy Balaji,India,Bowler,169,23000000,KKR,2011,"2,30,00,000"
711,Laxmi Shukla,India,All-Rounder,259,3000000,KKR,2011,"30,00,000"
712,Manoj Tiwary,India,Batsman,89,21850000,KKR,2011,"2,18,50,000"
713,Manvinder Bisla,India,Wicketkeeper Batsman,285,3000000,KKR,2011,"30,00,000"
714,Mark Boucher,South Africa,Batsman,186,14950000,KKR,2011,"1,49,50,000"
715,Mohammed Shami,India,Bowler,48,1000000,KKR,2011,"10,00,000"
716,Pradeep Sangwan,India,Bowler,271,2000000,KKR,2011,"20,00,000"
717,Rajat Bhatia,India,All-Rounder,200,3000000,KKR,2011,"30,00,000"
718,Ryan ten Doeschate,Netherlands,All-Rounder,229,6900000,KKR,2011,"69,00,000"
719,Sarabjit Ladda,India,Bowler,417,2000000,KKR,2011,"20,00,000"
720,Shakib Al Hasan,Bangladesh,All-Rounder,76,19550000,KKR,2011,"1,95,50,000"
721,Shreevats Goswami,India,Wicketkeeper Batsman,212,2000000,KKR,2011,"20,00,000"
722,Yusuf Pathan,India,All-Rounder,27,96600000,KKR,2011,"9,66,00,000"
723,Balachandra Akhil,India,Bowler,445,3000000,KTK,2011,"30,00,000"
724,Brad Hodge,Australia,Batsman,166,19550000,KTK,2011,"1,95,50,000"
725,Brendon McCullum,New Zealand,Wicketkeeper Batsman,40,21850000,KTK,2011,"2,18,50,000"
726,Chandan Madan,India,Wicketkeeper Batsman,531,3000000,KTK,2011,"30,00,000"
727,Deepak Chougule,India,Batsman,543,3000000,KTK,2011,"30,00,000"
728,Gnaneswara Rao,India,All-Rounder,544,3000000,KTK,2011,"30,00,000"
729,John Hastings,Australia,All-Rounder,310,920000,KTK,2011,"9,20,000"
730,Kedar Jadhav,India,All-Rounder,52,2000000,KTK,2011,"20,00,000"
731,Mahela Jayawardene,Sri Lanka,Batsman,70,69000000,KTK,2011,"6,90,00,000"
732,Michael Klinger,Australia,Batsman,533,3450000,KTK,2011,"34,50,000"
733,Muttiah Muralitharan,Sri Lanka,Bowler,119,50600000,KTK,2011,"5,06,00,000"
734,Owais Shah,England,Batsman,290,9200000,KTK,2011,"92,00,000"
735,Padmanabhan Prasanth,India,All-Rounder,430,2000000,KTK,2011,"20,00,000"
736,Parthiv Patel,India,Wicketkeeper Batsman,88,13340000,KTK,2011,"1,33,40,000"
737,Prasanth Parameswaran,India,Bowler,431,2000000,KTK,2011,"20,00,000"
738,Raiphi Gomez,India,All-Rounder,472,3000000,KTK,2011,"30,00,000"
739,Ramesh Powar,India,Bowler,245,8280000,KTK,2011,"82,80,000"
740,Ravindra Jadeja,India,All-Rounder,11,43700000,KTK,2011,"4,37,00,000"
741,RP Singh,India,Bowler,102,23000000,KTK,2011,"2,30,00,000"
742,Sreesanth,India,Bowler,118,41400000,KTK,2011,"4,14,00,000"
743,Steve O Keefe,Australia,All-Rounder,738,920000,KTK,2011,"9,20,000"
744,Steven Smith,Australia,Batsman,31,9200000,KTK,2011,"92,00,000"
745,Sushant Marathe,India,Wicketkeeper Batsman,473,3000000,KTK,2011,"30,00,000"
746,Tanmay Srivastava,India,Batsman,449,2000000,KTK,2011,"20,00,000"
747,Thisara Perera,Sri Lanka,All-Rounder,143,3680000,KTK,2011,"36,80,000"
748,Vinay Kumar,India,Bowler,78,21850000,KTK,2011,"2,18,50,000"
749,VVS Laxman,India,Batsman,195,18400000,KTK,2011,"1,84,00,000"
750,Yashpal Singh,India,Batsman,494,3000000,KTK,2011,"30,00,000"
751,Abhishek Nayar,India,All-Rounder,140,36800000,KXIP,2011,"3,68,00,000"
752,Adam Gilchrist,Australia,Wicketkeeper Batsman,86,41400000,KXIP,2011,"4,14,00,000"
753,Amit yadav,India,All-Rounder,595,1000000,KXIP,2011,"10,00,000"
754,Bhargav Bhatt,India,Bowler,539,1000000,KXIP,2011,"10,00,000"
755,Bipul Sharma,India,All-Rounder,331,3000000,KXIP,2011,"30,00,000"
756,David Hussey,Australia,All-Rounder,60,64400000,KXIP,2011,"6,44,00,000"
757,David Miller,South Africa,Batsman,20,4600000,KXIP,2011,"46,00,000"
758,Dimitri Mascarenhas,England,All-Rounder,272,4600000,KXIP,2011,"46,00,000"
759,Dinesh Karthik,India,Wicketkeeper Batsman,12,41400000,KXIP,2011,"4,14,00,000"
760,Love Ablish,India,Bowler,440,3000000,KXIP,2011,"30,00,000"
761,Mandeep Singh,India,All-Rounder,168,1000000,KXIP,2011,"10,00,000"
762,Nathan Rimmington,Australia,Bowler,653,920000,KXIP,2011,"9,20,000"
763,Nitin Saini,India,Wicketkeeper Batsman,448,2000000,KXIP,2011,"20,00,000"
764,Paras Dogra,India,Batsman,401,3000000,KXIP,2011,"30,00,000"
765,Paul Valthaty,India,Batsman,435,2000000,KXIP,2011,"20,00,000"
766,Piyush Chawla,India,All-Rounder,24,41400000,KXIP,2011,"4,14,00,000"
767,Praveen Kumar,India,Bowler,79,36800000,KXIP,2011,"3,68,00,000"
768,Ryan Harris,Australia,Bowler,204,14950000,KXIP,2011,"1,49,50,000"
769,Ryan Mclaren,South Africa,All-Rounder,323,11500000,KXIP,2011,"1,15,00,000"
770,Shalabh Srivastava,India,Bowler,441,3000000,KXIP,2011,"30,00,000"
771,Shaun Marsh,Australia,Batsman,120,18400000,KXIP,2011,"1,84,00,000"
772,Siddharth Chitnis,India,Batsman,493,1000000,KXIP,2011,"10,00,000"
773,Stuart Broad,England,Bowler,239,18400000,KXIP,2011,"1,84,00,000"
774,Sunny Singh,India,Batsman,388,3000000,KXIP,2011,"30,00,000"
775,Vikramjeet Malik,India,Bowler,344,3000000,KXIP,2011,"30,00,000"
776,Abu Nechim Ahmed,India,Bowler,312,3000000,MI,2011,"30,00,000"
777,Aditya Tare,India,Wicketkeeper Batsman,201,1000000,MI,2011,"10,00,000"
778,Aiden Blizzard,Australia,Batsman,471,920000,MI,2011,"9,20,000"
779,Ali Murtaza,India,Bowler,442,2000000,MI,2011,"20,00,000"
780,Ambati Rayudu,India,Batsman,68,3000000,MI,2011,"30,00,000"
781,Andrew Symonds,Australia,All-Rounder,87,39100000,MI,2011,"3,91,00,000"
782,Clint McKay,Australia,Bowler,330,5060000,MI,2011,"50,60,000"
783,Davy Jacobs,South Africa,Wicketkeeper Batsman,314,8740000,MI,2011,"87,40,000"
784,Dhawal Kulkarni,India,Bowler,161,2000000,MI,2011,"20,00,000"
785,Dilhara Fernando,Sri Lanka,Bowler,283,4600000,MI,2011,"46,00,000"
786,Harbhajan Singh,India,Bowler,22,59800000,MI,2011,"5,98,00,000"
787,James Franklin,New Zealand,All-Rounder,341,4600000,MI,2011,"46,00,000"
788,Kieron Pollard,West Indies,All-Rounder,14,41400000,MI,2011,"4,14,00,000"
789,Lasith Malinga,Sri Lanka,Bowler,29,23000000,MI,2011,"2,30,00,000"
790,Moises Henriques,Australia,All-Rounder,117,2300000,MI,2011,"23,00,000"
791,Munaf Patel,India,Bowler,133,32200000,MI,2011,"3,22,00,000"
792,Pawan Suyal,India,Bowler,458,1000000,MI,2011,"10,00,000"
793,Rajagopal Sathish,India,All-Rounder,384,3000000,MI,2011,"30,00,000"
794,Ray Price,Zimbabwe,Bowler,589,2300000,MI,2011,"23,00,000"
795,Rohit Sharma,India,Batsman,2,92000000,MI,2011,"9,20,00,000"
796,Sarul Kanwar,India,Batsman,693,1000000,MI,2011,"10,00,000"
797,Sachin Tendulkar,India,Batsman,42,82800000,MI,2011,"8,28,00,000"
798,Santosh Yadav,India,Bowler,694,1000000,MI,2011,"10,00,000"
799,Suryakumar Yadav,India,Batsman,113,1000000,MI,2011,"10,00,000"
800,Tirumalasetti Suman,India,Batsman,362,3000000,MI,2011,"30,00,000"
801,Yuzvendra Chahal,India,Bowler,77,1000000,MI,2011,"10,00,000"
802,AB de Villiers,South Africa,Wicketkeeper Batsman,5,50600000,RCB,2011,"5,06,00,000"
803,Abhimanyu Mithun,India,Bowler,220,11960000,RCB,2011,"1,19,60,000"
804,Abrar Kazi,India,Bowler,597,1000000,RCB,2011,"10,00,000"
805,BN Bharath,India,All-Rounder,695,1000000,RCB,2011,"10,00,000"
806,Arun Karthik,India,Wicketkeeper Batsman,402,2000000,RCB,2011,"20,00,000"
807,Asad Pathan,India,Bowler,598,1000000,RCB,2011,"10,00,000"
808,Charl Langeveldt,South Africa,Bowler,327,6440000,RCB,2011,"64,40,000"
809,Cheteshwar Pujara,India,Batsman,144,32200000,RCB,2011,"3,22,00,000"
810,Chidhambaram Gautam,India,Wicketkeeper Batsman,421,1000000,RCB,2011,"10,00,000"
811,Chris Gayle,West Indies,All-Rounder,21,29900000,RCB,2011,"2,99,00,000"
812,Daniel Vettori,New Zealand,All-Rounder,129,25300000,RCB,2011,"2,53,00,000"
813,Dirk Nannes,Australia,Bowler,165,29900000,RCB,2011,"2,99,00,000"
814,Johan Van Der Wath,South Africa,All-Rounder,590,2300000,RCB,2011,"23,00,000"
815,Jonathan Vandiar,South Africa,Batsman,737,920000,RCB,2011,"9,20,000"
816,Luke Pomersbach,Australia,Batsman,282,2300000,RCB,2011,"23,00,000"
817,Mayank Agarwal,India,Batsman,157,1000000,RCB,2011,"10,00,000"
818,Mohammad Kaif,India,Batsman,185,5980000,RCB,2011,"59,80,000"
819,Nuwan Pradeep,Sri Lanka,Bowler,736,920000,RCB,2011,"9,20,000"
820,Raju Bhatkal,India,All-Rounder,527,2000000,RCB,2011,"20,00,000"
821,Rilee Rossouw,South Africa,Batsman,416,920000,RCB,2011,"9,20,000"
822,Ryan Ninan,India,All-Rounder,495,2000000,RCB,2011,"20,00,000"
823,Saurabh Tiwary,India,Batsman,65,73600000,RCB,2011,"7,36,00,000"
824,Sreenath Aravind,India,Bowler,377,2000000,RCB,2011,"20,00,000"
825,Syed Mohammad,India,Bowler,541,1000000,RCB,2011,"10,00,000"
826,Tillakaratne Dilshan,Sri Lanka,All-Rounder,135,29900000,RCB,2011,"2,99,00,000"
827,Virat Kohli,India,Batsman,3,82800000,RCB,2011,"8,28,00,000"
828,Zaheer Khan,India,Bowler,57,41400000,RCB,2011,"4,14,00,000"
829,Abhishek Jhunjhunwala,India,Batsman,437,3000000,RPS,2011,"30,00,000"
830,Alfonso Thomas,South Africa,Bowler,379,4600000,RPS,2011,"46,00,000"
831,Angelo Mathews,Sri Lanka,All-Rounder,80,43700000,RPS,2011,"4,37,00,000"
832,Ashish Nehra,India,Bowler,59,39100000,RPS,2011,"3,91,00,000"
833,Bhuvneshwar kumar,India,Bowler,25,2000000,RPS,2011,"20,00,000"
834,Callum Ferguson,Australia,Batsman,268,13800000,RPS,2011,"1,38,00,000"
835,Dheeraj Jadhav,India,Batsman,391,3000000,RPS,2011,"30,00,000"
836,Eklavya Dwivedi,India,Wicketkeeper Batsman,296,1000000,RPS,2011,"10,00,000"
837,Ganesh Gaikwad,India,Bowler,601,2000000,RPS,2011,"20,00,000"
838,Graeme Smith,South Africa,Batsman,154,23000000,RPS,2011,"2,30,00,000"
839,Harpreet Singh,India,Batsman,408,2000000,RPS,2011,"20,00,000"
840,Harshad Khadiwale,India,Batsman,497,2000000,RPS,2011,"20,00,000"
841,Imtiaz Ahmed,India,Wicketkeeper Batsman,542,2000000,RPS,2011,"20,00,000"
842,James Faulkner,Australia,All-Rounder,51,4600000,RPS,2011,"46,00,000"
843,Jerome Taylor,West Indies,Bowler,326,4600000,RPS,2011,"46,00,000"
844,Jesse Ryder,New Zealand,All-Rounder,244,6900000,RPS,2011,"69,00,000"
845,Kamran Khan,India,Bowler,536,1000000,RPS,2011,"10,00,000"
846,Manish Pandey,India,Batsman,26,2000000,RPS,2011,"20,00,000"
847,Mitchell Marsh,Australia,All-Rounder,101,13340000,RPS,2011,"1,33,40,000"
848,Mithun Manhas,India,All-Rounder,311,3000000,RPS,2011,"30,00,000"
849,Mohnish Mishra,India,Batsman,443,3000000,RPS,2011,"30,00,000"
850,Murali Kartik,India,Bowler,162,18400000,RPS,2011,"1,84,00,000"
851,Nathan McCullum,New Zealand,Bowler,342,4600000,RPS,2011,"46,00,000"
852,Rahul Sharma,India,Bowler,269,2000000,RPS,2011,"20,00,000"
853,Robin Uthappa,India,Batsman,9,96600000,RPS,2011,"9,66,00,000"
854,Sachin Rana,India,Bowler,392,3000000,RPS,2011,"30,00,000"
855,Shrikant Mundhe,India,All-Rounder,510,2000000,RPS,2011,"20,00,000"
856,Shrikant Wagh,India,All-Rounder,439,2000000,RPS,2011,"20,00,000"
857,Sourav Ganguly,India,Batsman,108,18400000,RPS,2011,"1,84,00,000"
858,Tim Paine,Australia,Wicketkeeper Batsman,279,12420000,RPS,2011,"1,24,20,000"
859,Wayne Parnell,South Africa,Bowler,196,7360000,RPS,2011,"73,60,000"
860,Yuvraj Singh,India,Batsman,8,82800000,RPS,2011,"8,28,00,000"
861,Aakash Chopra,India,Batsman,427,3000000,RR,2011,"30,00,000"
862,Abhishek Raut,India,All-Rounder,420,3000000,RR,2011,"30,00,000"
863,Aditya Dole,India,Bowler,488,2000000,RR,2011,"20,00,000"
864,Ajinkya Rahane,India,Batsman,23,2000000,RR,2011,"20,00,000"
865,Amit paunikar,India,Wicketkeeper Batsman,438,2000000,RR,2011,"20,00,000"
866,Amit Singh,India,Bowler,428,3000000,RR,2011,"30,00,000"
867,Ankeet Chavan,India,Batsman,434,2000000,RR,2011,"20,00,000"
868,Ashok Menaria,India,All-Rounder,457,2000000,RR,2011,"20,00,000"
869,Deepak Chahar,India,Bowler,246,1000000,RR,2011,"10,00,000"
870,Dinesh Salunkhe,India,Bowler,535,1000000,RR,2011,"10,00,000"
871,Dishant Yagnik,India,Wicketkeeper Batsman,332,3000000,RR,2011,"30,00,000"
872,Faiz Fazal,India,Batsman,436,3000000,RR,2011,"30,00,000"
873,Jacob Oram,New Zealand,All-Rounder,159,11500000,RR,2011,"1,15,00,000"
874,Johan Botha,South Africa,All-Rounder,139,43700000,RR,2011,"4,37,00,000"
875,Nayan Doshi,England,Bowler,538,3000000,RR,2011,"30,00,000"
876,Pankaj Singh,India,Batsman,315,4370000,RR,2011,"43,70,000"
877,Paul Collingwood,England,All-Rounder,210,11500000,RR,2011,"1,15,00,000"
878,Pinal Shah,India,Wicketkeeper Batsman,403,3000000,RR,2011,"30,00,000"
879,Rahul Dravid,India,Batsman,96,23000000,RR,2011,"2,30,00,000"
880,Ross Taylor,New Zealand,Batsman,98,46000000,RR,2011,"4,60,00,000"
881,Samad Fallah,India,Bowler,507,2000000,RR,2011,"20,00,000"
882,Shane Warne (c),Australia,Bowler,125,82800000,RR,2011,"8,28,00,000"
883,Shane Watson,Australia,All-Rounder,10,59800000,RR,2011,"5,98,00,000"
884,Shaun Tait,Australia,Bowler,176,13800000,RR,2011,"1,38,00,000"
885,Siddharth Trivedi,India,Bowler,352,3000000,RR,2011,"30,00,000"
886,Stuart Binny,India,All-Rounder,107,3000000,RR,2011,"30,00,000"
887,Sumit Narwal,India,All-Rounder,400,3000000,RR,2011,"30,00,000"
888,Swapnil Asnodkar,India,Batsman,444,3000000,RR,2011,"30,00,000"
889,Akash Bhandari,India,Bowler,599,1000000,SRH,2011,"10,00,000"
890,Amit Mishra,India,Bowler,46,13800000,SRH,2011,"1,38,00,000"
891,Anand Rajan,India,Bowler,480,2000000,SRH,2011,"20,00,000"
892,Ankit Sharma,India,Bowler,390,1000000,SRH,2011,"10,00,000"
893,Arjun Yadav,India,Batsman,381,3000000,SRH,2011,"30,00,000"
894,Ashish Reddy,India,Batsman,571,1000000,SRH,2011,"10,00,000"
895,Bharat Chipli,India,Batsman,404,3000000,SRH,2011,"30,00,000"
896,Cameron White,Australia,Batsman,84,50600000,SRH,2011,"5,06,00,000"
897,Chris Lynn,Australia,Batsman,63,920000,SRH,2011,"9,20,000"
898,Dale Steyn,South Africa,Bowler,32,55200000,SRH,2011,"5,52,00,000"
899,Dan Christian,Australia,All-Rounder,152,41400000,SRH,2011,"4,14,00,000"
900,Dwaraka Ravi Teja,India,Batsman,382,2000000,SRH,2011,"20,00,000"
901,Harmeet Singh,India,Bowler,506,800000,SRH,2011,"8,00,000"
902,Ishan Malhotra,India,Bowler,570,2000000,SRH,2011,"20,00,000"
903,Ishank Jaggi,India,Batsman,422,2000000,SRH,2011,"20,00,000"
904,Ishant Sharma,India,Bowler,58,20700000,SRH,2011,"2,07,00,000"
905,Jaydev Shah,India,Batsman,355,3000000,SRH,2011,"30,00,000"
906,Jean-Paul Duminy,South Africa,All-Rounder,82,13800000,SRH,2011,"1,38,00,000"
907,Juan Theron,South Africa,Bowler,405,3910000,SRH,2011,"39,10,000"
908,Kedar Devdhar,India,Wicketkeeper Batsman,600,1000000,SRH,2011,"10,00,000"
909,Kevin Pietersen,England,Batsman,47,29900000,SRH,2011,"2,99,00,000"
910,Kumar Sangakkara,Sri Lanka,Wicketkeeper Batsman,93,32200000,SRH,2011,"3,22,00,000"
911,Manpreet Gony,India,Bowler,236,13340000,SRH,2011,"1,33,40,000"
912,Michael Lumb,England,Batsman,476,3680000,SRH,2011,"36,80,000"
913,Pragyan Ojha,India,Bowler,156,23000000,SRH,2011,"2,30,00,000"
914,Shikhar Dhawan,India,Batsman,13,13800000,SRH,2011,"1,38,00,000"
915,Sunny Sohal,India,Batsman,492,1000000,SRH,2011,"10,00,000"
916,Abhinav Mukund,India,Batsman,399,3000000,CSK,2012,"30,00,000"
917,Albie Morkel,South Africa,All-Rounder,95,25135000,CSK,2012,"2,51,35,000"
918,Ben Hilfenhaus,Australia,Bowler,242,5027000,CSK,2012,"50,27,000"
919,Doug Bollinger,Australia,Bowler,182,35189000,CSK,2012,"3,51,89,000"
920,Dwayne Bravo,West Indies,All-Rounder,33,10054000,CSK,2012,"1,00,54,000"
921,Faf Du Plessis,South Africa,Batsman,67,6032400,CSK,2012,"60,32,400"
922,Ganapathi Vignesh,India,All-Rounder,446,3000000,CSK,2012,"30,00,000"
923,George Bailey,Australia,Batsman,179,2513500,CSK,2012,"25,13,500"
924,Joginder Sharma,India,Bowler,257,6900000,CSK,2012,"69,00,000"
925,Kuthethurshri Vasudevadas,India,Bowler,456,3000000,CSK,2012,"30,00,000"
926,Michael Hussey,Australia,Batsman,121,21364750,CSK,2012,"2,13,64,750"
927,MS Dhoni,India,Wicketkeeper Batsman,1,82800000,CSK,2012,"8,28,00,000"
928,Murali Vijay,India,Batsman,56,41400000,CSK,2012,"4,14,00,000"
929,Nuwan Kulasekara,Sri Lanka,Bowler,340,5027000,CSK,2012,"50,27,000"
930,Ravichandran Ashwin,India,All-Rounder,15,39100000,CSK,2012,"3,91,00,000"
931,Ravindra Jadeja,India,All-Rounder,11,92000000,CSK,2012,"9,20,00,000"
932,S Badrinath,India,Batsman,153,36800000,CSK,2012,"3,68,00,000"
933,Scott Styris,New Zealand,All-Rounder,250,10054000,CSK,2012,"1,00,54,000"
934,Shadab Jakati,India,Bowler,251,9200000,CSK,2012,"92,00,000"
935,Srikkanth Anirudha ,India,Batsman,356,3000000,CSK,2012,"30,00,000"
936,Sudeep Tyagi,India,Bowler,273,11040000,CSK,2012,"1,10,40,000"
937,Suraj Randiv,Sri Lanka,Bowler,418,4021600,CSK,2012,"40,21,600"
938,Suresh Raina,India,Batsman,4,59800000,CSK,2012,"5,98,00,000"
939,Wriddhiman Saha,India,Wicketkeeper Batsman,97,4600000,CSK,2012,"46,00,000"
940,Yo Mahesh,India,All-Rounder,380,3000000,CSK,2012,"30,00,000"
941,Aaron Finch,Australia,Batsman,85,15081000,DC,2012,"1,50,81,000"
942,Aavishkar Salvi,India,Bowler,320,3000000,DC,2012,"30,00,000"
943,Ajit Agarkar,India,Bowler,192,9660000,DC,2012,"96,60,000"
944,Andre Russell,West Indies,All-Rounder,38,22621500,DC,2012,"2,26,21,500"
945,Colin Ingram,South Africa,Batsman,189,5027000,DC,2012,"50,27,000"
946,David Warner,Australia,Batsman,16,37702500,DC,2012,"3,77,02,500"
947,Doug Bracewell,New Zealand,Bowler,573,2513500,DC,2012,"25,13,500"
948,Glenn Maxwell,Australia,All-Rounder,18,1005400,DC,2012,"10,05,400"
949,Gulam Bodi,South Africa,Batsman,591,1005400,DC,2012,"10,05,400"
950,Irfan Pathan,India,All-Rounder,36,87400000,DC,2012,"8,74,00,000"
951,Kevin Pietersen,England,Batsman,47,32675500,DC,2012,"3,26,75,500"
952,Kuldeep Raval,India,Bowler,697,1000000,DC,2012,"10,00,000"
953,Mahela Jayawardene,Sri Lanka,Batsman,70,64400000,DC,2012,"6,44,00,000"
954,Manpreet Juneja,India,Batsman,545,1000000,DC,2012,"10,00,000"
955,Morne Morkel,South Africa,Bowler,111,23878250,DC,2012,"2,38,78,250"
956,Naman Ojha,India,Wicketkeeper Batsman,188,12420000,DC,2012,"1,24,20,000"
957,Pawan Negi,India,Bowler,132,1000000,DC,2012,"10,00,000"
958,Prashant Naik,India,Batsman,509,2000000,DC,2012,"20,00,000"
959,Puneet Bisht,India,Wicketkeeper Batsman,698,1000000,DC,2012,"10,00,000"
960,Robin Bist,India,Batsman,508,2000000,DC,2012,"20,00,000"
961,Roelof Van der Merwe,Netherlands,All-Rounder,364,2513500,DC,2012,"25,13,500"
962,Ross Taylor,New Zealand,Batsman,98,50270000,DC,2012,"5,02,70,000"
963,Shahbaz Nadeem,India,Bowler,106,3000000,DC,2012,"30,00,000"
964,Sunny Gupta,India,Bowler,699,1000000,DC,2012,"10,00,000"
965,Tejashwi Yadav,India,Batsman,530,1000000,DC,2012,"10,00,000"
966,Travis Birt,Australia,Batsman,654,1005400,DC,2012,"10,05,400"
967,Umesh Yadav,India,Bowler,50,34500000,DC,2012,"3,45,00,000"
968,Unmukt Chand,India,Batsman,292,1000000,DC,2012,"10,00,000"
969,Varun Aaron,India,Bowler,126,2000000,DC,2012,"20,00,000"
970,Venugopal Rao,India,Batsman,158,32200000,DC,2012,"3,22,00,000"
971,Vikas Mishra,India,Bowler,596,1000000,DC,2012,"10,00,000"
972,Virender Sehwag,India,Batsman,37,82800000,DC,2012,"8,28,00,000"
973,Yogesh Nagar,India,All-Rounder,419,2000000,DC,2012,"20,00,000"
974,Zafir Patel,India,Bowler,700,1000000,DC,2012,"10,00,000"
975,Brad Haddin,Australia,Wicketkeeper Batsman,213,16337750,KKR,2012,"1,63,37,750"
976,Brendon McCullum,New Zealand,Wicketkeeper Batsman,40,45243000,KKR,2012,"4,52,43,000"
977,Brett Lee,Australia,Bowler,100,20108000,KKR,2012,"2,01,08,000"
978,Chirag Jani,India,All-Rounder,754,800000,KKR,2012,"8,00,000"
979,Debabrata Das,India,Batsman,487,800000,KKR,2012,"8,00,000"
980,Eoin Morgan,England,Batsman,90,17594500,KKR,2012,"1,75,94,500"
981,Gautam Gambhir,India,Batsman,7,110400000,KKR,2012,"11,04,00,000"
982,Iqbal Abdulla,India,All-Rounder,291,2000000,KKR,2012,"20,00,000"
983,Iresh Saxena,India,Bowler,755,800000,KKR,2012,"8,00,000"
984,Jacques Kallis,South Africa,All-Rounder,53,55297000,KKR,2012,"5,52,97,000"
985,James Pattinson,Australia,Bowler,262,5027000,KKR,2012,"50,27,000"
986,Jaydev Unadkat,India,Bowler,44,11500000,KKR,2012,"1,15,00,000"
987,Lakshmipathy Balaji,India,Bowler,169,23000000,KKR,2012,"2,30,00,000"
988,Laxmi Shukla,India,All-Rounder,259,3000000,KKR,2012,"30,00,000"
989,Manoj Tiwary,India,Batsman,89,21850000,KKR,2012,"2,18,50,000"
990,Manvinder Bisla,India,Wicketkeeper Batsman,285,3000000,KKR,2012,"30,00,000"
991,Marchant De Lange,South Africa,Bowler,361,2513500,KKR,2012,"25,13,500"
992,Mohammed Shami,India,Bowler,48,1000000,KKR,2012,"10,00,000"
993,Pradeep Sangwan,India,Bowler,271,2000000,KKR,2012,"20,00,000"
994,Rajat Bhatia,India,All-Rounder,200,3000000,KKR,2012,"30,00,000"
995,Ryan ten Doeschate,Netherlands,All-Rounder,229,7540500,KKR,2012,"75,40,500"
996,Sanju Samson,India,Wicketkeeper Batsman,28,800000,KKR,2012,"8,00,000"
997,Sarabjit Ladda,India,Bowler,417,2000000,KKR,2012,"20,00,000"
998,Shakib Al Hasan,Bangladesh,All-Rounder,76,21364750,KKR,2012,"2,13,64,750"
999,Sunil Narine,West Indies,Bowler,6,35189000,KKR,2012,"3,51,89,000"
