id,city,date,team1,team2,toss_winner,toss_decision,result_type,dl_applied,winner,win_type,result_margin,player_of_match,venue
841,Abu Dhabi,2020-10-01,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Mumbai Indians,runs,48,KA Pollard,Sheikh Zayed Stadium
842,Dubai,2020-10-02,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,runs,7,PK Garg,Dubai International Cricket Stadium
843,Abu Dhabi,2020-10-03,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,wickets,8,YS Chahal,Sheikh Zayed Stadium
844,Sharjah,2020-10-03,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Capitals,runs,18,SS Iyer,Sharjah Cricket Stadium
845,Dubai,2020-10-04,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,wickets,10,SR Watson,Dubai International Cricket Stadium
846,Sharjah,2020-10-04,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,runs,34,TA Boult,Sharjah Cricket Stadium
847,Dubai,2020-10-05,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,runs,59,AR Patel,Dubai International Cricket Stadium
848,Abu Dhabi,2020-10-06,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,runs,57,SA Yadav,Sheikh Zayed Stadium
849,Abu Dhabi,2020-10-07,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,runs,10,RA Tripathi,Sheikh Zayed Stadium
850,Dubai,2020-10-08,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,runs,69,JM Bairstow,Dubai International Cricket Stadium
851,Sharjah,2020-10-09,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Delhi Capitals,runs,46,R Ashwin,Sharjah Cricket Stadium
852,Abu Dhabi,2020-10-10,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,runs,2,KD Karthik,Sheikh Zayed Stadium
853,Dubai,2020-10-10,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,runs,37,V Kohli,Dubai International Cricket Stadium
854,Dubai,2020-10-11,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,wickets,5,R Tewatia,Dubai International Cricket Stadium
855,Abu Dhabi,2020-10-11,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,normal,0,Mumbai Indians,wickets,5,Q de Kock,Sheikh Zayed Stadium
856,Sharjah,2020-10-12,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,runs,82,AB de Villiers,Sharjah Cricket Stadium
